Count,Unit Format 1,Carry Fee Percentage,SQ FT,Year,Carrying Charge,NCB Loan,2019 One Time SA,2022 SA #1,2022 SA #1 
108,S0835,0.001725551,590,2003,432,null,null,null,TBD
109,S0840,0.001725551,590,2003,432,null,null,null,TBD
110,S0841,0.001725551,590,2003,432,null,null,null,TBD
111,S0846,0.001725551,590,2003,439,null,null,null,TBD
112,S0847,0.001725551,590,2003,439,null,null,null,TBD
113,S0143,0.001593134,695,2003,364,null,null,null,TBD
114,S0144,0.001593134,695,2003,369,null,null,null,TBD
115,S0243,0.001593134,695,2003,371,null,null,null,TBD
116,S0244,0.001593134,695,2003,372,null,null,null,TBD
117,S0343,0.001593134,695,2003,371,null,null,null,TBD
118,S0344,0.001593134,695,2003,376,null,null,null,TBD
119,S0443,0.001593134,695,2003,376,null,null,null,TBD
120,S0444,0.001593134,695,2003,386,null,null,null,TBD
121,S0543,0.001593134,695,2003,386,null,null,null,TBD
122,S0544,0.001593134,695,2003,390,null,null,null,TBD
123,S0643,0.001593134,695,2003,389,null,null,null,TBD
124,S0644,0.001593134,695,2003,396,null,null,null,TBD
125,S0743,0.001593134,695,2003,396,null,null,null,TBD
126,S0744,0.001593134,695,2003,401,null,null,null,TBD
127,S0843,0.001593134,695,2003,408,null,null,null,TBD
128,S0844,0.001593134,695,2003,412,null,null,null,TBD
129,N0119,0.001588996,668,2003,364,null,null,null,TBD
130,N0120,0.001588996,668,2003,368,null,null,null,TBD
131,N0219,0.001588996,668,2003,368,null,null,null,TBD
132,N0220,0.001588996,668,2003,370,null,null,null,TBD
133,N0319,0.001588996,668,2003,371,null,null,null,TBD
134,N0320,0.001588996,668,2003,376,null,null,null,TBD
135,N0419,0.001588996,668,2003,376,null,null,null,TBD
136,N0420,0.001588996,668,2003,386,null,null,null,TBD
137,N0519,0.001588996,668,2003,386,null,null,null,TBD
138,N0520,0.001588996,668,2003,389,null,null,null,TBD
139,N0619,0.001588996,668,2003,389,null,null,null,TBD
140,N0620,0.001588996,668,2003,396,null,null,null,TBD
141,N0719,0.001588996,668,2003,397,null,null,null,TBD
142,N0720,0.001588996,668,2003,401,null,null,null,TBD
143,N0819,0.001588996,668,2003,401,null,null,null,TBD
144,N0820,0.001588996,668,2003,412,null,null,null,TBD
145,N0118,0.001729689,590,2003,389,null,null,null,TBD
146,N0121,0.001729689,590,2003,401,null,null,null,TBD
147,N0218,0.001729689,590,2003,397,null,null,null,TBD
148,N0221,0.001729689,590,2003,412,null,null,null,TBD
149,N0318,0.001729689,590,2003,401,null,null,null,TBD
150,N0321,0.001729689,590,2003,413,null,null,null,TBD
151,N0418,0.001729689,590,2003,412,null,null,null,TBD
152,N0421,0.001729689,590,2003,421,null,null,null,TBD
153,N0518,0.001729689,590,2003,419,null,null,null,TBD
154,N0521,0.001729689,590,2003,429,null,null,null,TBD
155,N0618,0.001729689,590,2003,421,null,null,null,TBD
156,N0621,0.001729689,590,2003,432,null,null,null,TBD
157,N0718,0.001729689,590,2003,429,null,null,null,TBD
158,N0721,0.001729689,590,2003,434,null,null,null,TBD
159,N0818,0.001729689,590,2003,431,null,null,null,TBD
160,N0821,0.001729689,590,2003,439,null,null,null,TBD
161,N0117,0.001725551,590,2003,389,null,null,null,TBD
162,N0122,0.001725551,590,2003,401,null,null,null,TBD
163,N0217,0.001725551,590,2003,397,null,null,null,TBD
164,N0222,0.001725551,590,2003,412,null,null,null,TBD
165,N0317,0.001725551,590,2003,401,null,null,null,TBD
166,N0322,0.001725551,590,2003,413,null,null,null,TBD
167,N0417,0.001725551,590,2003,412,null,null,null,TBD
168,N0422,0.001725551,590,2003,421,null,null,null,TBD
169,N0517,0.001725551,590,2003,413,null,null,null,TBD
170,N0522,0.001725551,590,2003,429,null,null,null,TBD
171,N0617,0.001725551,590,2003,421,null,null,null,TBD
172,N0622,0.001725551,590,2003,432,null,null,null,TBD
173,N0717,0.001725551,590,2003,429,null,null,null,TBD
174,N0722,0.001725551,590,2003,434,null,null,null,TBD
175,N0817,0.001725551,590,2003,431,null,null,null,TBD
176,N0822,0.001725551,590,2003,435,null,null,null,TBD
177,N0106,0.002280044,768,2003,525,null,null,null,TBD
178,N0107,0.002280044,768,2003,525,null,null,null,TBD
179,N0206,0.002280044,768,2003,530,null,null,null,TBD
180,N0207,0.002280044,768,2003,530,null,null,null,TBD
181,N0306,0.002280044,768,2003,540,null,null,null,TBD
182,N0307,0.002280044,768,2003,540,null,null,null,TBD
183,N0406,0.002280044,768,2003,549,null,null,null,TBD
184,N0407,0.002280044,768,2003,549,null,null,null,TBD
185,N0506,0.002280044,768,2003,550,null,null,null,TBD
186,N0507,0.002280044,768,2003,550,null,null,null,TBD
187,N0606,0.002280044,768,2003,559,null,null,null,TBD
188,N0607,0.002280044,768,2003,559,null,null,null,TBD
189,N0706,0.002280044,768,2003,567,null,null,null,TBD
190,N0707,0.002280044,768,2003,567,null,null,null,TBD
191,N0806,0.002280044,768,2003,570,null,null,null,TBD
192,N0807,0.002280044,768,2003,570,null,null,null,TBD
193,S0131,0.002280044,768,2003,534,null,null,null,TBD
194,S0132,0.002280044,768,2003,534,null,null,null,TBD
195,S0231,0.002280044,768,2003,540,null,null,null,TBD
196,S0232,0.002280044,768,2003,540,null,null,null,TBD
197,S0331,0.002280044,768,2003,541,null,null,null,TBD
198,S0332,0.002280044,768,2003,537,null,null,null,TBD
199,S0431,0.002280044,768,2003,548,null,null,null,TBD
